_Red,_Green,_Blue,_Hex,_Title
255,235,238,#ffebee,Red 50
255,205,210,#ffcdd2,Red 100
239,154,154,#ef9a9a,Red 200
229,115,115,#e57373,Red 300
239,83,80,#ef5350,Red 400
244,67,54,#f44336,Red 500
229,57,53,#e53935,Red 600
211,47,47,#d32f2f,Red 700
198,40,40,#c62828,Red 800
183,28,28,#b71c1c,Red 900
255,138,128,#ff8a80,Red A100
255,82,82,#ff5252,Red A200
255,23,68,#ff1744,Red A400
213,0,0,#d50000,Red A700
252,228,236,#fce4ec,Pink 50
248,187,208,#f8bbd0,Pink 100
244,143,177,#f48fb1,Pink 200
240,98,146,#f06292,Pink 300
236,64,122,#ec407a,Pink 400
233,30,99,#e91e63,Pink 500
216,27,96,#d81b60,Pink 600
194,24,91,#c2185b,Pink 700
173,20,87,#ad1457,Pink 800
136,14,79,#880e4f,Pink 900
255,128,171,#ff80ab,Pink A100
255,64,129,#ff4081,Pink A200
245,0,87,#f50057,Pink A400
197,17,98,#c51162,Pink A700
243,229,245,#f3e5f5,Purple 50
225,190,231,#e1bee7,Purple 100
206,147,216,#ce93d8,Purple 200
186,104,200,#ba68c8,Purple 300
171,71,188,#ab47bc,Purple 400
156,39,176,#9c27b0,Purple 500
142,36,170,#8e24aa,Purple 600
123,31,162,#7b1fa2,Purple 700
106,27,154,#6a1b9a,Purple 800
74,20,140,#4a148c,Purple 900
234,128,252,#ea80fc,Purple A100
224,64,251,#e040fb,Purple A200
213,0,249,#d500f9,Purple A400
170,0,255,#aa00ff,Purple A700
237,231,246,#ede7f6,Deep Purple 50
209,196,233,#d1c4e9,Deep Purple 100
179,157,219,#b39ddb,Deep Purple 200
149,117,205,#9575cd,Deep Purple 300
126,87,194,#7e57c2,Deep Purple 400
103,58,183,#673ab7,Deep Purple 500
94,53,177,#5e35b1,Deep Purple 600
81,45,168,#512da8,Deep Purple 700
69,39,160,#4527a0,Deep Purple 800
49,27,146,#311b92,Deep Purple 900
179,136,255,#b388ff,Deep Purple A100
124,77,255,#7c4dff,Deep Purple A200
101,31,255,#651fff,Deep Purple A400
98,0,234,#6200ea,Deep Purple A700
232,234,246,#e8eaf6,Indigo 50
197,202,233,#c5cae9,Indigo 100
159,168,218,#9fa8da,Indigo 200
121,134,203,#7986cb,Indigo 300
92,107,192,#5c6bc0,Indigo 400
63,81,181,#3f51b5,Indigo 500
57,73,171,#3949ab,Indigo 600
48,63,159,#303f9f,Indigo 700
40,53,147,#283593,Indigo 800
26,35,126,#1a237e,Indigo 900
140,158,255,#8c9eff,Indigo A100
83,109,254,#536dfe,Indigo A200
61,90,254,#3d5afe,Indigo A400
48,79,254,#304ffe,Indigo A700
227,242,253,#e3f2fd,Blue 50
187,222,251,#bbdefb,Blue 100
144,202,249,#90caf9,Blue 200
100,181,246,#64b5f6,Blue 300
66,165,245,#42a5f5,Blue 400
33,150,243,#2196f3,Blue 500
30,136,229,#1e88e5,Blue 600
25,118,210,#1976d2,Blue 700
21,101,192,#1565c0,Blue 800
13,71,161,#0d47a1,Blue 900
130,177,255,#82b1ff,Blue A100
68,138,255,#448aff,Blue A200
41,121,255,#2979ff,Blue A400
41,98,255,#2962ff,Blue A700
225,245,254,#e1f5fe,Light Blue 50
179,229,252,#b3e5fc,Light Blue 100
129,212,250,#81d4fa,Light Blue 200
79,195,247,#4fc3f7,Light Blue 300
41,182,246,#29b6f6,Light Blue 400
3,169,244,#03a9f4,Light Blue 500
3,155,229,#039be5,Light Blue 600
2,136,209,#0288d1,Light Blue 700
2,119,189,#0277bd,Light Blue 800
1,87,155,#01579b,Light Blue 900
128,216,255,#80d8ff,Light Blue A100
64,196,255,#40c4ff,Light Blue A200
0,176,255,#00b0ff,Light Blue A400
0,145,234,#0091ea,Light Blue A700
224,247,250,#e0f7fa,Cyan 50
178,235,242,#b2ebf2,Cyan 100
128,222,234,#80deea,Cyan 200
77,208,225,#4dd0e1,Cyan 300
38,198,218,#26c6da,Cyan 400
0,188,212,#00bcd4,Cyan 500
0,172,193,#00acc1,Cyan 600
0,151,167,#0097a7,Cyan 700
0,131,143,#00838f,Cyan 800
0,96,100,#006064,Cyan 900
132,255,255,#84ffff,Cyan A100
24,255,255,#18ffff,Cyan A200
0,229,255,#00e5ff,Cyan A400
0,184,212,#00b8d4,Cyan A700
224,242,241,#e0f2f1,Teal 50
178,223,219,#b2dfdb,Teal 100
128,203,196,#80cbc4,Teal 200
77,182,172,#4db6ac,Teal 300
38,166,154,#26a69a,Teal 400
0,150,136,#009688,Teal 500
0,137,123,#00897b,Teal 600
0,121,107,#00796b,Teal 700
0,105,92,#00695c,Teal 800
0,77,64,#004d40,Teal 900
167,255,235,#a7ffeb,Teal A100
100,255,218,#64ffda,Teal A200
29,233,182,#1de9b6,Teal A400
0,191,165,#00bfa5,Teal A700
232,245,233,#e8f5e9,Green 50
200,230,201,#c8e6c9,Green 100
165,214,167,#a5d6a7,Green 200
129,199,132,#81c784,Green 300
102,187,106,#66bb6a,Green 400
76,175,80,#4caf50,Green 500
67,160,71,#43a047,Green 600
56,142,60,#388e3c,Green 700
46,125,50,#2e7d32,Green 800
27,94,32,#1b5e20,Green 900
185,246,202,#b9f6ca,Green A100
105,240,174,#69f0ae,Green A200
0,230,118,#00e676,Green A400
0,200,83,#00c853,Green A700
241,248,233,#f1f8e9,Light Green 50
220,237,200,#dcedc8,Light Green 100
197,225,165,#c5e1a5,Light Green 200
174,213,129,#aed581,Light Green 300
156,204,101,#9ccc65,Light Green 400
139,195,74,#8bc34a,Light Green 500
124,179,66,#7cb342,Light Green 600
104,159,56,#689f38,Light Green 700
85,139,47,#558b2f,Light Green 800
51,105,30,#33691e,Light Green 900
204,255,144,#ccff90,Light Green A100
178,255,89,#b2ff59,Light Green A200
118,255,3,#76ff03,Light Green A400
100,221,23,#64dd17,Light Green A700
249,251,231,#f9fbe7,Lime 50
240,244,195,#f0f4c3,Lime 100
230,238,156,#e6ee9c,Lime 200
220,231,117,#dce775,Lime 300
212,225,87,#d4e157,Lime 400
205,220,57,#cddc39,Lime 500
192,202,51,#c0ca33,Lime 600
175,180,43,#afb42b,Lime 700
158,157,36,#9e9d24,Lime 800
130,119,23,#827717,Lime 900
244,255,129,#f4ff81,Lime A100
238,255,65,#eeff41,Lime A200
198,255,0,#c6ff00,Lime A400
174,234,0,#aeea00,Lime A700
255,253,231,#fffde7,Yellow 50
255,249,196,#fff9c4,Yellow 100
255,245,157,#fff59d,Yellow 200
255,241,118,#fff176,Yellow 300
255,238,88,#ffee58,Yellow 400
255,235,59,#ffeb3b,Yellow 500
253,216,53,#fdd835,Yellow 600
251,192,45,#fbc02d,Yellow 700
249,168,37,#f9a825,Yellow 800
245,127,23,#f57f17,Yellow 900
255,255,141,#ffff8d,Yellow A100
255,255,0,#ffff00,Yellow A200
255,234,0,#ffea00,Yellow A400
255,214,0,#ffd600,Yellow A700
255,248,225,#fff8e1,Amber 50
255,236,179,#ffecb3,Amber 100
255,224,130,#ffe082,Amber 200
255,213,79,#ffd54f,Amber 300
255,202,40,#ffca28,Amber 400
255,193,7,#ffc107,Amber 500
255,179,0,#ffb300,Amber 600
255,160,0,#ffa000,Amber 700
255,143,0,#ff8f00,Amber 800
255,111,0,#ff6f00,Amber 900
255,229,127,#ffe57f,Amber A100
255,215,64,#ffd740,Amber A200
255,196,0,#ffc400,Amber A400
255,171,0,#ffab00,Amber A700
255,243,224,#fff3e0,Orange 50
255,224,178,#ffe0b2,Orange 100
255,204,128,#ffcc80,Orange 200
255,183,77,#ffb74d,Orange 300
255,167,38,#ffa726,Orange 400
255,152,0,#ff9800,Orange 500
251,140,0,#fb8c00,Orange 600
245,124,0,#f57c00,Orange 700
239,108,0,#ef6c00,Orange 800
230,81,0,#e65100,Orange 900
255,209,128,#ffd180,Orange A100
255,171,64,#ffab40,Orange A200
255,145,0,#ff9100,Orange A400
255,109,0,#ff6d00,Orange A700
251,233,231,#fbe9e7,Deep Orange 50
255,204,188,#ffccbc,Deep Orange 100
255,171,145,#ffab91,Deep Orange 200
255,138,101,#ff8a65,Deep Orange 300
255,112,67,#ff7043,Deep Orange 400
255,87,34,#ff5722,Deep Orange 500
244,81,30,#f4511e,Deep Orange 600
230,74,25,#e64a19,Deep Orange 700
216,67,21,#d84315,Deep Orange 800
191,54,12,#bf360c,Deep Orange 900
255,158,128,#ff9e80,Deep Orange A100
255,110,64,#ff6e40,Deep Orange A200
255,61,0,#ff3d00,Deep Orange A400
221,44,0,#dd2c00,Deep Orange A700
239,235,233,#efebe9,Brown 50
215,204,200,#d7ccc8,Brown 100
188,170,164,#bcaaa4,Brown 200
161,136,127,#a1887f,Brown 300
141,110,99,#8d6e63,Brown 400
121,85,72,#795548,Brown 500
109,76,65,#6d4c41,Brown 600
93,64,55,#5d4037,Brown 700
78,52,46,#4e342e,Brown 800
62,39,35,#3e2723,Brown 900
250,250,250,#fafafa,Grey 50
245,245,245,#f5f5f5,Grey 100
238,238,238,#eeeeee,Grey 200
224,224,224,#e0e0e0,Grey 300
189,189,189,#bdbdbd,Grey 400
158,158,158,#9e9e9e,Grey 500
117,117,117,#757575,Grey 600
97,97,97,#616161,Grey 700
66,66,66,#424242,Grey 800
33,33,33,#212121,Grey 900
236,239,241,#eceff1,Blue Grey 50
207,216,220,#cfd8dc,Blue Grey 100
176,190,197,#b0bec5,Blue Grey 200
144,164,174,#90a4ae,Blue Grey 300
120,144,156,#78909c,Blue Grey 400
96,125,139,#607d8b,Blue Grey 500
84,110,122,#546e7a,Blue Grey 600
69,90,100,#455a64,Blue Grey 700
55,71,79,#37474f,Blue Grey 800
38,50,56,#263238,Blue Grey 900
0,0,0,#000000,Black
255,255,255,#ffffff,White
